question,document
Do the lesson pages in the repo link to the videos somewhere?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f
How do I find the right videos for each lesson in this course?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework deadlines?,20c5a1347e
Is there a course platform for tracking my progress in LLM Zoomcamp?,20c5a1347e
What’s the official place to follow the current cohort structure for this course?,20c5a1347e
"Can I use one site to see homework, deadlines, and my progress in LLM Zoomcamp?",20c5a1347e
Where should I go for the LLM Zoomcamp management page?,20c5a1347e
"Do you have live classes or office hours for every module, or is everything just recorded?",d65e05bd7a
Where can I find module lessons if there isn’t a live session for each one?,d65e05bd7a
"If I get stuck on a lesson, should I wait for office hours or ask somewhere else?",d65e05bd7a
"Are live sessions for this course scheduled regularly, or only announced when they happen?",d65e05bd7a
Is there any paid option with more support and Zoom office hours for this course?,d65e05bd7a
Can I count Bluesky posts toward the learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
"Are Bluesky updates accepted as learning in public credits, or only other platforms?",dbf5369006
"If I share my progress on Bluesky, can that be used for course credits?",dbf5369006
Can I get learning in public credit for Bluesky posts?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Is there a Telegram group for LLM Zoomcamp announcements?,054f3fd58f
Where should I go for LLM Zoomcamp updates on Telegram?,054f3fd58f
Can you share the LLM Zoomcamp Telegram channel URL?,054f3fd58f
Why do I get a different number of FAQ records than what’s shown in the course videos?,e2d595f23c
Is it normal if my FAQ dataset count doesn’t match the lecture output?,e2d595f23c
Why does the FAQ data seem to change when I run the code now?,e2d595f23c
"The videos show one record count, but I see another one in the live FAQ dataset — what’s going on?",e2d595f23c
Did the FAQ dataset get updated after the videos were recorded?,e2d595f23c
Can I still turn in homework if the deadline already passed but the form is still open?,a9353fadfe
Does a missed deadline matter if the submission page hasn’t been closed yet?,a9353fadfe
When exactly do homework submissions stop being accepted for this course?,a9353fadfe
"If the deadline passed yesterday, can I still send my answers through the open form?",a9353fadfe
Is it okay to submit late as long as the homework form is still available?,a9353fadfe
"Can I still send in homework after the deadline if the form is open, or is it already too late?",cdc3b285e5
Do you ever grant deadline extensions for homework submissions?,cdc3b285e5
What happens if I miss a homework deadline — can I submit it later or not at all?,cdc3b285e5
Will skipping a homework assignment hurt my chances of getting the course certificate?,cdc3b285e5
"Does homework count for the certificate, or is it only used for leaderboard ranking?",cdc3b285e5
Does the name I enter for the certificate get published anywhere or sent to other people?,651ba06b34
What name shows up on the public leaderboard if I fill in my certificate name?,651ba06b34
Can I keep my real name off the leaderboard but still have it printed on the certificate?,651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?",651ba06b34
"Is the certificate name the same as my public display name, or are they separate?",651ba06b34
Why doesn’t the course start with LangChain right away?,b7cdde6b25
What is LangChain actually used for in LLM apps?,b7cdde6b25
"Why do we need to build prompting, retrieval, indexing, and evaluation ourselves first?",b7cdde6b25
Is it better to learn the basics before using a framework like LangChain?,b7cdde6b25
What’s the point of not relying on LangChain in the early part of the course?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59
What does the insufficient credits error mean in OpenAI responses.create?,f5df151c59
How can I fix the error I see when using OpenAI responses.create?,f5df151c59
Could low OpenAI credits be the reason my responses.create call is not working?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
How can I fix the 'you exceeded your current quota' error in my notebook?,152af39a53
"After adding money to my OpenAI account, do I need to create a new API key?",152af39a53
"In `responses.create`, how do I make sure I’m using a model that my account actually supports?",152af39a53
How much money do I need to spend to use the OpenAI API for this course?,554d0eb78b
"Do I have to put in a lot of credit to start using the OpenAI API, or is a small recharge enough?",554d0eb78b
"Is OpenAI API usage in the course expensive, or is it usually just tiny charges?",554d0eb78b
What’s the minimum I can add to my OpenAI account before using the API?,554d0eb78b
"Will I end up paying a lot for OpenAI API calls in this course, or are the costs usually only fractions of a cent?",554d0eb78b
Do I need to subscribe to OpenAI or pay for the API to finish the homework in this course?,85384a18e5
Can I complete the llm-zoomcamp assignments without paying for OpenAI API access?,85384a18e5
Are there free or cheaper options instead of OpenAI API for the course tasks?,85384a18e5
Where can I find the list of OpenAI API alternatives recommended in the course repo?,85384a18e5
"Is paying for OpenAI required at all, or can I use a low-cost alternative for the homework?",85384a18e5
Why does the course recommend uv over pip and virtualenv for setting up Python projects?,f81dea8f7e
"What makes uv easier or faster than using separate tools like pip, virtualenv, and pyenv?",f81dea8f7e
"Do I have to use uv in the course, or can I still stick with pip and virtualenv?",f81dea8f7e
"Does uv replace tools like poetry, pip-tools, pipx, and twine too?",f81dea8f7e
What is the main reason the lessons are based on uv instead of the usual Python setup tools?,f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I put it in .env?,86d99bbf21
Do I need python-dotenv before loading environment variables in the notebook?,86d99bbf21
What should I run in the notebook to make the .env file available before creating the OpenAI client?,86d99bbf21
Could the issue be that my variable name is wrong in the .env file instead of a notebook problem?,86d99bbf21
How do I fix it when OpenAI API key is not picked up inside Jupyter?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python without hardcoding them?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from env vars in a notebook or script?,233dabe430
Do I need to add .env to .gitignore before using python-dotenv for secret keys?,233dabe430
How can I install and use python-dotenv to fetch keys like GEMINI_API_KEY from a .env file?,233dabe430
What is the recommended way in the course to store API credentials locally and load them with os.getenv()?,233dabe430
"Can I pick a different LLM provider than the one used in the homework, or do I have to stick to the recommended model?",ee43413718
"Is OpenAI the only option for the RAG assignment, or can I use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model?",ee43413718
"If I use another API or model for the homework, will I need to change the code because of different response formats or tokenizers?",ee43413718
"Do I need to pay for a model service to complete the homework, or is there a way to do it without a paid account?",ee43413718
Where can I find a list of OpenAI API alternatives suggested for the course?,ee43413718
How can I use Google Gemini in the Module 1 notebook if I only have an OpenAI-style client?,0ae5c221b9
What do I need to put in my .env file to call Gemini through the OpenAI-compatible endpoint?,0ae5c221b9
How do I set up the client and model name for Gemini when the course notebook expects OpenAI chat completions?,0ae5c221b9
Why does the Module 1 code need changes when switching from the newer Responses API to Gemini’s chat completions?,0ae5c221b9
Can you show a simple helper function for sending instructions and a user prompt to a Gemini model from the notebook?,0ae5c221b9
How do I get Pydantic-typed output from Gemini if `responses.parse` doesn't work with the OpenAI-compatible API?,341f71f28c
Can I still use the OpenAI SDK with Gemini and get parsed objects from chat completions instead of the Responses API?,341f71f28c
What’s the right way to define a schema like `Questions` and have Gemini return it through `chat.completions.parse`?,341f71f28c
How do I call Gemini on Google's OpenAI-style endpoint and read `message.parsed` without doing JSON parsing myself?,341f71f28c
Is there a simple example of structured output for FAQ questions using `chat.completions.parse` and Pydantic?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to get Ollama running locally after download?,1d0b969028
How can I check if the Ollama server is up on my machine?,1d0b969028
Do I need to install a Python package to use Ollama from code?,1d0b969028
Can you show a tiny Python example for chatting with the llama3 model in Ollama?,1d0b969028
How do I fix the connection refused error when I try prompting Ollama in the RAG homework?,c6fc2d4d11
My Ollama keeps refusing the connection in Module 1 RAG — is there a quick restart command I should run?,c6fc2d4d11
What should I do if Ollama stops responding after restarting the notebook cell in the homework?,c6fc2d4d11
Is there a way to restart the Ollama server from the notebook when I get a connection refused issue?,c6fc2d4d11
"In the RAG assignment, do I need to rerun the cell with ollama serve after stopping and starting it again?",c6fc2d4d11
Why does my `tiktoken` count not match the token number OpenAI shows in the API response?,bf0403d21b
"In a chat completion request, what hidden tokens get added around each message?",bf0403d21b
Where do the extra few tokens come from when OpenAI reports more tokens than I counted myself?,bf0403d21b
"Can whitespace, line breaks, or weird Unicode make the token total higher than expected?",bf0403d21b
Why is the prompt length I calculate with `tiktoken.encode()` usually smaller than OpenAI’s reported usage?,bf0403d21b
How can I keep my API key loaded automatically in a project so I don't have to export it in every new terminal?,8b2f5e9d04
Is there a simple way to make `.env` work on different shells without manually setting the key each time?,8b2f5e9d04
What should I install and configure to auto-load my OpenAI key when I `cd` into the project folder?,8b2f5e9d04
"If I'm already using `direnv`, do I still need another tool to manage environment variables for a RAG project?",8b2f5e9d04
"How do I load a `.env` file from Python code, and what should I use in GitHub Codespaces instead of putting secrets in the repo?",8b2f5e9d04
How do I decide the best field weights in minsearch without just guessing?,87d4ea4e08
What’s the right way to tune search field weights for a small RAG project?,87d4ea4e08
Should I use trial and error or some kind of evaluation to pick field weights?,87d4ea4e08
How can I test different field weights against a set of questions and docs?,87d4ea4e08
Which metrics are useful when comparing field weight settings for search?,87d4ea4e08
What should I do before indexing my docs for RAG so retrieval works better?,649c280e6d
How do I clean up source files for a RAG pipeline without losing useful context?,649c280e6d
"Is JSON required when preparing documents for retrieval, or can I use another format?",649c280e6d
What kind of metadata should I keep with chunks when building a RAG system?,649c280e6d
"Should I just shorten the text for RAG, or is there a better way to prep documents?",649c280e6d
"In GitHub Codespaces, `uv` shows “Failed to hardlink files” during install — does that actually mean something broke?",acf8fa5356
"Why does `uv` complain about hardlinking in Codespaces, and will the package still install anyway?",acf8fa5356
How can I stop the `uv` hardlink warning from appearing just for my current terminal session?,acf8fa5356
What’s the easiest way to make `UV_LINK_MODE=copy` stay on every time I open a new shell?,acf8fa5356
Is there a setting in `uv` for Codespaces so it copies files instead of trying to hardlink them?,acf8fa5356
My Python code says dotenv is not recognized — what package do I need to install?,0bed1f48da
"How do I fix the ""dotenv is not recognized"" error in Module 1 RAG?",0bed1f48da
What’s the uv command to add the dotenv library for loading env files?,0bed1f48da
"After installing python-dotenv, how do I use load_dotenv in my script?",0bed1f48da
Is python-dotenv the right dependency if I want to call load_dotenv() in Python?,0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or is it just the simplest option to get started?",aa310de435
What do I need installed if I want to run the module locally?,aa310de435
Can I set up the RAG module in my own environment as long as I have Python and Docker?,aa310de435
"If I don’t use Codespaces, do I need to write down my setup so it can be reproduced later?",aa310de435
"If I work in GitHub Codespaces and never commit my changes, where does the code actually live?",610ccb23c0
Is my work safe in Codespaces even if I don't push or commit it right away?,610ccb23c0
What happens to files in a Codespace if the VM stops or the session gets disconnected?,610ccb23c0
"Do I need to commit often in Codespaces, or can I just keep everything locally in the cloud VM?",610ccb23c0
Why is it important to save my Codespaces work in GitHub instead of only relying on the Codespace itself?,610ccb23c0
"Why does WSL2 say the model needs more memory than is available, even though my PC has enough RAM?",f3dd94f323
How do I give WSL2 more RAM on Windows so this model can run?,f3dd94f323
Where exactly should I put the .wslconfig file to increase WSL2 memory?,f3dd94f323
What should I write inside .wslconfig to set WSL2 to 8GB of memory?,f3dd94f323
"After changing the WSL2 memory setting, how can I restart it and check that the new RAM limit applied?",f3dd94f323
My GitHub Codespace is stuck on Finishing up and never opens — what can I try first?,830f3d2018
"If a Codespace won’t reconnect, is there a browser workaround or do I need to use desktop VS Code?",830f3d2018
Why did all my installs and setup seem to vanish after rebuilding or making a new Codespace?,830f3d2018
"When a Codespace is acting weird, should I stop it, restart it, or just delete it and start over?",830f3d2018
How do I avoid losing work in Codespaces if I have to recreate the environment?,830f3d2018
"Can I use a different LLM provider instead of OpenAI for the RAG module, or is the course locked to OpenAI?",c6ff9083c0
"If I switch to another provider like Groq, OpenRouter, or DeepSeek, what usually needs to change in the course code?",c6ff9083c0
"What are my options if I want to run a model locally with Ollama, vLLM, or LM Studio instead of using an external API?",c6ff9083c0
"Does the course work with open models from Hugging Face, like Qwen or Llama, or only with hosted APIs?",c6ff9083c0
"If a provider is blocked in my region, is using a VPN the only workaround, or are there other ways to run the model?",c6ff9083c0
How can I stop getting 429 errors from OpenAI when my notebook loops over lots of documents?,8e21752415
"What’s the best way to deal with OpenAI rate limits in this course — should I retry, cache, or cut down the number of calls?",8e21752415
"If I use a thread pool for embeddings or LLM calls, how many workers should I keep so I don’t hit the per-minute limit?",8e21752415
Do I need to save embeddings and model outputs somewhere so I don’t call the API again every time I rerun the notebook?,8e21752415
Is there a cheaper model or provider I can use for the course instead of burning through my OpenAI quota?,8e21752415
"In agentic RAG, what exactly counts as a tool or function, and why do people use both words?",c296ea5a21
"What kinds of things can an LLM call as a tool in this course, like search, database lookup, APIs, or calculations?",c296ea5a21
"How is tool use in agentic RAG different from regular RAG retrieval, where the search step happens before the answer?",c296ea5a21
When does the model decide to call a tool instead of just answering from its own context?,c296ea5a21
"Do I need to worry about the difference between tools and functions for this module, or are they basically the same thing?",c296ea5a21
What free model options can I use if I need tool calling support?,0d74a3616f
Does Groq have any models I can use for free that support tools?,0d74a3616f
Are there other providers besides Groq that let models call functions or tools?,0d74a3616f
"Can I use local Ollama models for tool use, or is that only for cloud models?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool schemas and response format?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call `responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Is `response.output` only supposed to work with OpenAI, or can I use it with Mistral/Groq/Gemini too?",9e7b3f0c25
"If I’m not using OpenAI, what API should I use instead of the Responses API to get the model reply?",9e7b3f0c25
"In the chat completions version, what field should I read to get the assistant text back?",9e7b3f0c25
Do I need to change the tool schema when switching from OpenAI Responses API to another provider's chat API?,9e7b3f0c25
I'm getting Error 400 on Azure OpenAI saying tools[0].function is missing — what exactly should my weather tool JSON look like?,b9c7c6bb34
How do I fix the Azure OpenAI request when it complains about the function field inside tools?,b9c7c6bb34
What change do I need to make in my get_weather_tool definition so the API stops returning the missing required parameter error?,b9c7c6bb34
Can you show the correct JSON structure for a weather function tool in Azure OpenAI?,b9c7c6bb34
"Why does my current tool config fail with 'Missing required parameter: tools[0].function', and what should I replace it with?",b9c7c6bb34
Why do I get a 404 with toyaikit when I try Groq or another non-OpenAI model?,0224d980b3
How can I make toyaikit work with Groq instead of OpenAI?,0224d980b3
Is there a way to use Anthropic with toyaikit without the OpenAI endpoint?,0224d980b3
What runner/client should I switch to if `responses.create` is failing for my provider?,0224d980b3
Can I call `runner.loop(prompt=...)` directly and get the last message back in code?,0224d980b3
Where do I actually find the Module 1 homework questions?,53f15299b6
Is the homework on GitHub or only in the course platform?,53f15299b6
Do I need to check the cohort materials to get the homework tasks?,53f15299b6
Where are the instructions for the 2026 Module 1 homework?,53f15299b6
"If I’m doing Module 1, which links should I open first for the homework?",53f15299b6
Why do I keep getting an empty list after filtering my query in HW Q3?,83da208a64
Could this be an indexing issue if my Module 1 homework query returns nothing?,83da208a64
Do I need to set the index settings before loading the data for Q3?,83da208a64
What should I check first when my filtered search in the homework gives no results?,83da208a64
Is the fix for the empty query result to add the index settings before inserting the data?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create() in homework, and what should I change to stop it?",cfb07a27d5
Is there a way to fix the OpenRouter 402 issue by setting max_output_tokens somewhere in the OpenAI client call?,cfb07a27d5
"For rag_helper.py in Module 1, where exactly do I add the token limit so responses.create() doesn’t fail?",cfb07a27d5
"In ToyAIKit for Q6, how do I pass max_output_tokens so OpenRouter accepts the request?",cfb07a27d5
"If lowering max_output_tokens still doesn’t help, what should I check in my .env, key limit, or model choice?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that mean using the split docs instead of the original ones?",b4300adeb1
Should I fit the search index on `chunks` or on `documents` for the homework RAG setup?,b4300adeb1
Why does the homework RAG pipeline need to retrieve chunks rather than whole documents?,b4300adeb1
What happens if I build the index from the full documents instead of the chunked records?,b4300adeb1
"After indexing the chunks, does the prompt only get the retrieved chunks as context?",b4300adeb1
"Do homework answers have to be exactly the same as the multiple choice options, or is the closest one fine?",5e4ca64cb5
"If my numeric result is a little different from the listed answers, should I still pick the nearest option?",5e4ca64cb5
Why do homework results sometimes not match the options exactly even when my code seems right?,5e4ca64cb5
What should I check if my answer is way off from every option in the homework?,5e4ca64cb5
"Can dataset versions, rounding, or model differences cause small mismatches in homework answers?",5e4ca64cb5
Where should I check first if the homework wording is confusing?,7d3a2e3505
"For Module 1, which GitHub pages do I need to read to understand the assignment properly?",7d3a2e3505
Why does the homework sometimes seem different from the lesson I just watched?,7d3a2e3505
"If I’m still stuck after reading the homework page, what’s the best way to ask for help?",7d3a2e3505
"When I post a question in Slack, should I send a screenshot or paste the code/output as text?",7d3a2e3505
How should I count tokens for the Module 1 homework if I’m using a model provider other than OpenAI?,fe8fed31e6
Where do I find the token usage info in the response when my client is OpenAI-compatible?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider doesn’t give me token usage fields at all?,fe8fed31e6
"For the multiple-choice questions in Module 1, what’s the best way to pick the token count answer if I only have an estimate?",fe8fed31e6
"Why does my homework repo link get rejected with a 500 or other non-200 code, and what should I check first?",bcdb8740ce
"Can the checker access a private GitHub repo, or do I need to make it public for the submission to work?",bcdb8740ce
"Should I paste the Git URL with .git at the end, or is the plain repo page link required?",bcdb8740ce
What’s the easiest way to see if the URL I submitted is actually reachable by the grader?,bcdb8740ce
I copied my repo link but the homework still fails — could a small typo in the URL be the reason?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we convert text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep meaning and context when they turn things into numerical vectors?,69430a79a8
Why should similar inputs produce similar vectors in an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence transformers v3 beta?,aa3f597424
Is there a way to suppress the `sentence-transformers` warning when using `multi-qa-mpnet-base-dot-v1`?,aa3f597424
What should I upgrade to stop the message about the model being built on `sentence-transformers` v3.0.0 beta?,aa3f597424
Do I need a newer `sentence-transformers` version to avoid that `multi-qa-mpnet-base-dot-v1` warning?,aa3f597424
What command should I run to silence the warning from `sentence-transformers` for this model?,aa3f597424
Why did the lesson just use dot product for similarity instead of cosine similarity?,92cd22cada
"Are OpenAI embeddings already normalized, or do I need to normalize them first?",92cd22cada
"In the homework, why doesn't dot product equal cosine similarity with TF-IDF and SVD vectors?",92cd22cada
When is it okay to use `.dot(...)` directly for vector similarity?,92cd22cada
Do I need to normalize embeddings myself before comparing them in Module 2?,92cd22cada
"For vector search, is it better to store only the answer, only the question, or both together in the embedding?",5c4a8d2e60
Why would embedding just the answer still work well for matching user queries?,5c4a8d2e60
When does embedding only the question make sense in a retrieval setup?,5c4a8d2e60
"Is combining the question with the answer usually the best choice, and what is the tradeoff?",5c4a8d2e60
How should I decide which embedding option to use for my dataset?,5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used when comparing documents or text?,db78580409
Why do we use the angle between vectors instead of raw values in cosine similarity?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be applied to word counts or TF-IDF vectors?,db78580409
Why does cosine similarity become just a dot product once the vectors are normalized?,95feb4e75b
How can matrix multiplication be used to compare one query against many embeddings at once?,95feb4e75b
"If embeddings are all unit length, why don't we need to divide by their magnitudes anymore?",95feb4e75b
What makes cosine similarity efficient for vector search after normalization?,95feb4e75b
Why is cosine similarity basically the same as multiplying the embedding matrix by the query vector?,95feb4e75b
"For Module 2, do I have to create a whole new GitHub repository, or can I reuse the one from Module 1 and just start another codespace?",1e829a8c6f
What’s the reason you recommend a separate codespace for the vector search module instead of keeping everything in the old one?,1e829a8c6f
"If I finish Module 2 work in Codespaces and later delete that environment, will my changes be gone unless I committed them first?",1e829a8c6f
"Does a codespace come from my existing repo, or is it something completely separate that needs its own repo?",1e829a8c6f
"Is it okay to keep Module 2 dependencies inside the Module 1 codespace, or is it better to isolate them in a fresh one?",1e829a8c6f
Why is my download.py stuck at 0% when pulling model.onnx from HuggingFace?,29b69fbe0b
What should I do if the HuggingFace download never moves past 0% in download.py?,29b69fbe0b
Is there a manual way to get model.onnx instead of waiting for download.py?,29b69fbe0b
Where do I place the ONNX model so the script stops trying to fetch it again?,29b69fbe0b
Why does the script skip the download after I put model.onnx in the right folder?,29b69fbe0b
Why do the dot-product version and the loop version of vector search return slightly different scores?,e889793af9
"Is it normal if `np.allclose(scores, scores_loop)` says `False` even when both methods look equivalent?",e889793af9
Why does `X.dot(v_query)` not give exactly the same output as computing the same thing with a Python `for` loop?,e889793af9
"Are those tiny differences in vector search results a bug, or just floating-point rounding?",e889793af9
What’s the best way to compare vector search scores when the matrix and loop implementations don’t match exactly?,e889793af9
Why am I getting IndexError: list index out of range when I try to grab the best chunk in vector search?,1a7b27c4df
What usually causes the best chunk lookup to fail with an out of range error?,1a7b27c4df
"Do my embeddings need to have the same size as my chunks list, and how do I check that?",1a7b27c4df
Should I build embeddings from the full chunks array or from the chunk contents only?,1a7b27c4df
How can I fix the mismatch between document chunks and the embeddings I generated?,1a7b27c4df
Why doesn’t my Q2 cosine similarity match any multiple-choice option in Module 2 homework?,eaa17a9dc6
"Am I supposed to use sentence-transformers for the embedding in Q2, or something else?",eaa17a9dc6
Could the wrong embedding model be the reason my cosine similarity is off in the homework?,eaa17a9dc6
"What exactly should I embed for the similarity check — the content text, the filename, or the whole record?",eaa17a9dc6
"If my cosine result is a little different from the choices, should I just pick the nearest one?",eaa17a9dc6
How do I set up Gemini API keys so Kestra can use them in the orchestration module?,3860e5fe8b
"Why does Kestra need the API keys as base64 env vars, and do I have to restart it after exporting them?",3860e5fe8b
What’s the right way to configure OpenAI and Tavily secrets for the Kestra flows?,3860e5fe8b
"In a Kestra YAML flow, do I reference the secret name with `SECRET_` or without it?",3860e5fe8b
Do I need both the normal Gemini key and the base64 `SECRET_GEMINI_API_KEY` for the course setup?,3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what should I change to make it work?",04440cab11
"I already set the Gemini key for the flows, but the Copilot still refuses — is there a different env var it reads?",04440cab11
"Do I need to restart Kestra after exporting the Gemini API key, or does it pick it up automatically?",04440cab11
What’s the difference between the plain Gemini key and the base64 secret key in Kestra setup?,04440cab11
"If the Copilot still doesn’t respond after fixing the key, could it be a quota or rate-limit problem?",04440cab11
Why does Kestra say my Gemini key is missing or invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the problem be my base64 encoding if the secret works in shell but fails in the flow?,c8ca21af33
"Do I need to restart Kestra after exporting the API key, or should it pick up the env var automatically?",c8ca21af33
"When I reference the secret in a Kestra flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
Is there a better way to pass Gemini keys to docker compose than exporting them in the terminal?,c8ca21af33
Why do we need an orchestrator like Kestra instead of just using a notebook for the whole workflow?,193612db63
"Isn’t a notebook enough if I only want to run my AI code once, or are there things it can’t handle well?",193612db63
What does Kestra add for real AI projects that a simple script or notebook doesn’t give me?,193612db63
"How does this module use Kestra to show AI Copilot, RAG, and agents in a production-style setup?",193612db63
"If I build a flow with one AI provider in Kestra, can I switch to another provider later without rewriting everything?",193612db63
"Do I have to use Kestra for the Zoomcamp, or is it only for the orchestration module?",cce328db64
"For the final project, can I build the pipeline with Airflow or Prefect instead of Kestra?",cce328db64
"Would a simple Python script be enough for the ingestion/indexing part of the capstone, or do I need a workflow tool?",cce328db64
Is there any penalty if I skip Kestra after Module 3 and use another orchestrator in my project?,cce328db64
Why does the course use Kestra in Module 3 if Airflow and other orchestrators do the same job?,cce328db64
"Besides Gemini, what AI providers can I use with Kestra? Does it also work with Groq, Ollama, or a local model?",f442efe5b4
"If I switch from Gemini to another model in a Kestra flow, do I need to rewrite the whole workflow or just change the provider settings?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific plugins like OpenAI or Gemini?,f442efe5b4
"Can I plug an OpenAI-compatible service like Groq or DeepSeek into Kestra, and how do I point it to the right API URL?",f442efe5b4
"Why does the course example use Gemini instead of other providers, and where can I find a list of free or free-tier options?",f442efe5b4
Is there a way to build a Kestra flow without hand-writing YAML or any code at all?,bfe5502c30
What no-code options does Kestra have if I don't want to edit YAML directly?,bfe5502c30
"Can Kestra generate a workflow from plain English, and can I keep refining it afterward?",bfe5502c30
How do external tools like Claude Code or Codex fit into making Kestra flows without using the UI?,bfe5502c30
"For simple automations, should I even use Kestra, or are Zapier/n8n a better fit?",bfe5502c30
Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name that Kestra doesn't accept?,93a3e8b98c
How can I tell if a generated Kestra flow is using the real plugin properties for my version?,93a3e8b98c
