question,answer_agent,answer_orig,tool_calls,cost,document
"What's the usual weekly routine for watching lessons, doing notebooks, and homework?","A typical weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit the homework on the course platform before the deadline

You can start whenever you want, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine watching lessons notebooks homework""}'}]",0.0012825,04919992b3
Where do I find the deadlines and submit my homework answers?,"Use the **LLM Zoomcamp course management platform** to find the current **deadlines** and the **homework submission form**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the syllabus, deadlines, homework, and progress tracking.

Also, the **GitHub homework instructions** often include extra details:
- Course materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- Homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

If you want, I can also help you find the exact homework submission link for your module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""deadlines submit homework answers where find deadlines submit homework""}'}]",0.0016095,04919992b3
"Are the homework tasks exactly the same as the lesson exercises, or do they change a bit?","They usually **follow the lesson workflow**, but they are **not exactly the same**. The homework often:

- uses a **different dataset**, or
- asks you to apply the **same idea in a slightly different way**.

Also, if something is unclear, it’s best to check the **GitHub homework instructions**, since they often include extra context beyond the course platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework tasks exactly the same as lesson exercises or change a bit""}'}]",0.00141525,04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,"Click the **“Jump to your record on the leaderboard”** link — that will take you directly to your entry, even if your name isn’t visible right away.

If you want to check what name appears publicly, go to **“Edit Course Profile”** and look at your **display name**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my own entry on the leaderboard can\'t see my name right away""}'}]",0.0016860,c2903069a0
Why do I show up with a random name on the leaderboard instead of my actual name?,"You’re seeing a random leaderboard name because the course assigns a default anonymous display name when your account is created.

A few key points:
- The **leaderboard uses your display name**, not your certificate name.
- By default, that display name is a **random nickname** like “Lucid Elbakyan.”
- You can change it in **Edit Course Profile**:
  - **First field:** public nickname shown on the leaderboard
  - **Second field:** official name for your certificate

If you want, I can also tell you how to find your entry on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""random name leaderboard actual name random username leaderboard display name why do I show up with a random name instead of my actual name""}'}]",0.00194775,c2903069a0
Where can I check what display name I’m using in the course?,"You can check your display name by clicking **“Edit Course Profile”**.

In the profile, the **first field** is your **nickname/display name** used on the leaderboard. If you want, you can change it there.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name course check what display name I’m using""}'}]",0.00134175,c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub username?","Yes — you can change the public display name to a Slack username, GitHub username, or any nickname you prefer.

In **Edit Course Profile**:

- **First field** = your public nickname/display name shown on the leaderboard
- **Second field** = your official name for the certificate

So if you want to appear publicly as your Slack/GitHub name, put that in the **first field**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""change public name appears publicly Slack GitHub username name on profile display name""}'}]",0.00141075,c2903069a0
What name should I put in the profile fields if I want my certificate to show my real legal name instead of the default one?,"In **Edit Course Profile**, put your real legal name in the **second field** — that’s the **certificate name**.

- **First field:** public display name / leaderboard nickname
- **Second field:** official name that will appear on your certificate

If you want the certificate to show your real legal name instead of the default one, make sure the **second field** matches your name on your ID or passport.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate real legal name profile fields default name certificate show legal name""}'}]",0.0012945,c2903069a0
Can I do the course on my own time and still get the certificate?,"You can work through the course material on your own time, but **you can’t get the certificate fully self-paced**.

To receive a certificate, you need to:
- finish the course with a **live cohort**
- complete the **capstone project**
- do the required **peer reviews**

Homework is **not required** for the certificate, and you can study the material in self-paced mode, but your **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{'name': 'search', 'arguments': '{""query"":""self paced certificate own time course certificate""}'}]",0.00151725,69d122f12e
"If I study the material in self-paced mode, can I later submit the capstone and reviews to get certified?","No. You can work through the material in self-paced mode and prepare your project, but you **can only get certified if you finish with a live cohort**.

For certification, you need to:
- submit the **capstone project** while a live cohort is accepting submissions, and
- complete the **required peer reviews**.

So self-paced study is fine for learning and preparation, but the actual submission and review process must happen during a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{'name': 'search', 'arguments': '{""query"":""self-paced mode later submit capstone reviews certified""}'}]",0.00154275,69d122f12e
What are the exact requirements for earning the certificate in this course?,"To earn the certificate in this course, you must:

- **Finish the course with a live cohort** — self-paced completion alone is not enough.
- **Complete the Capstone project**.
- **Complete the required peer reviews**.

A couple of important notes:

- **Homework is not required** for the certificate.
- You must **submit the project while the course is still accepting submissions**.

If you want, I can also summarize what “required peer reviews” means in practice.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements exact requirements earning the certificate course""}'}]",0.0013170,69d122f12e
"Do I need to finish all homework, or is the capstone project enough for the certificate?","No — you do **not** need to finish all homework for the certificate.

According to the FAQ, **homework is not mandatory**. To get the certificate, you need to:

- **complete the Capstone project**
- **finish the required peer reviews**
- do this while a **live cohort** is accepting submissions

Homework can help with learning and leaderboard points, but it’s **not required** for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{'name': 'search', 'arguments': '{""query"":""certificate homework capstone project enough for certificate finish all homework""}'}]",0.001290,69d122f12e
Can I prepare the project in self-paced mode and then wait for the next live cohort to submit it?,"Yes — you can work through the material and prepare your project in self-paced mode, but the **project submission and peer review must happen while a live cohort is accepting them**.

So the short answer is:

- **Prepare in self-paced mode:** yes
- **Wait and submit later in a live cohort:** yes
- **Get a certificate without a live cohort submission/peer review:** no

If you want, I can also explain how this affects the capstone and certificate requirements.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{'name': 'search', 'arguments': '{""query"":""self-paced mode prepare project wait for next live cohort submit project cohort submission FAQ""}'}]",0.0016035,69d122f12e
Can I still get the course certificate if I skipped the first homework?,"Yes. Skipping the first homework does **not** prevent you from getting the certificate.

According to the FAQ, **homework is not mandatory** for the certificate. You still need to:

- pass the **Capstone project**
- complete the required **peer reviews**
- finish while a **live cohort** is accepting submissions

Homework points only affect your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""course certificate skipped first homework certificate eligibility homework required""}'}]",0.0012255,9f689c185f
"Do I need to complete all the homework to get certified, or is the Capstone enough?","No — you do **not** need to complete all homework to get certified.

According to the FAQ, the certificate requirement is:

- **Finish the Capstone project**
- **Complete the required peer reviews**
- Do this with a **live cohort**

Homework is **not required** for the certificate. It only affects your **leaderboard rank**.

","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certified homework capstone enough complete all homework required certification""}'}]",0.0012465,9f689c185f
"Is homework mandatory for passing the course, or just recommended practice?","Homework is **not mandatory** for passing the course. You only need to **pass the Capstone project** to get the certificate.

Homework is still **recommended** because it helps reinforce the concepts, and the points contribute to your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework mandatory passing course recommended practice""}'}]",0.00109725,9f689c185f
What do I have to pass in order to receive the certificate?,"To receive the certificate, you generally need to:

- **Finish the capstone project**
- **Complete the required peer reviews**
- **Submit and be evaluated while a live cohort is accepting submissions**

Homework is **not required** for the certificate, though it can help your ranking on the leaderboard.

If you want, I can also summarize the exact certificate rules in one short checklist.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements pass receive certificate""}'}]",0.00112575,9f689c185f
"If homework isn’t required, does it still affect anything like my leaderboard position?","No — if homework isn’t required, it won’t affect your certificate, but it **does** affect your **leaderboard rank**. Homework points only count toward the leaderboard, so missing a homework means fewer points there, even though it doesn’t block certification.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework optional required leaderboard position affect leaderboard homework""}'}]",0.00111675,9f689c185f
Why does the homework content keep changing before the deadline?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only considered ready when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content keep changing before the deadline""}'}]",0.0013440,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,"If a homework title contains `[DRAFT]`, it means the homework is **not ready yet**.

It becomes ready only when:

- the homework form is open on the course platform, and
- the title **no longer** contains `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework title [DRAFT] meaning""}'}]",0.0013155,96286b4be4
How can I tell if a homework is actually ready to submit?,"A homework is ready to submit only when **both** of these are true:

- The **homework form is open** on the course platform.
- The homework title **does not contain `[DRAFT]`**.

If the title still says `[DRAFT]`, it’s not ready yet, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework ready to submit submit ready complete check homework submission FAQ""}'}]",0.001218,96286b4be4
Is it safe to start the assignment early if it still says [DRAFT]?,"Not yet. If the homework title still contains `[DRAFT]`, it means it’s not ready and the content can still change.

You can work on it in advance, but it’s at your own risk because the final version may be different. The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the title no longer says `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] assignment early safe start assignment early draft""}'}]",0.001521,96286b4be4
Why does the homework form being open not always mean the homework is final?,"Because the homework is considered **final only when two conditions are true**:

- the homework submission form is open, **and**
- the homework title **does not** contain `[DRAFT]`

So if the form is open but the title still says `[DRAFT]`, the homework is **not final yet** and the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework form open not final why form open not mean homework final""}'}]",0.0012315,96286b4be4
When is the next time this course will run?,The course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time course will run schedule upcoming session next offering""}'}]",0.001035,bd31146b0e
Do you know the next offering date for the course?,The next offering date for the course is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next offering date course""}'}]",0.00108825,bd31146b0e
