question,answer_llm,answer_orig,document
Why do I show up with a random name on the leaderboard instead of my actual name?,"Because the leaderboard uses your **public display name**, which is set separately from the name used on your certificate. By default, that display name is a **random anonymous nickname** like “Lucid Elbakyan.”

If you want to change it, go to **Edit Course Profile**:
- **First field:** leaderboard nickname/display name
- **Second field:** certificate name

If you don’t change the first field, the random name will stay on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using in the course?,"Click the **“Edit Course Profile”** button. There, the **first field** shows your **display name/nickname** used in the course leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub username?","Yes. In **Edit Course Profile**, the **first field** is your public nickname/display name, and you can change it to your **Slack username, GitHub username, or any other nickname** you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I put in the profile fields if I want my certificate to show my real legal name instead of the default one?,"Put your **official legal name** in the **second field** of “Edit Course Profile.”

- **First field:** your public nickname/display name
- **Second field:** the name printed on your certificate

If you want your certificate to show your real legal name instead of the default one, enter that legal name in the **second field**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course on my own time and still get the certificate?,"No. You can work through the material in self-paced mode, but to get the certificate you must finish with a live cohort, including submitting the capstone project and completing the required peer reviews while submissions are open.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I study the material in self-paced mode, can I later submit the capstone and reviews to get certified?","No. You can study the material in self-paced mode, but to get certified you must submit the capstone and complete the required peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What are the exact requirements for earning the certificate in this course?,"To earn the certificate, you must:

- Finish the course with a **live cohort** — you **cannot** get a certificate in self-paced mode.
- **Complete the capstone project**.
- **Complete the required peer reviews**.

Notes:
- **Homework is not required** for the certificate.
- You may study and prepare in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I need to finish all homework, or is the capstone project enough for the certificate?","No. Homework is not required for the certificate.

To get the certificate, you need to:
- finish the capstone project, and
- complete the required peer reviews,

and this must happen with a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I prepare the project in self-paced mode and then wait for the next live cohort to submit it?,"Yes — you can work through the material and prepare your project in self-paced mode, but the **project submission and peer review must happen while a live cohort is accepting them**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I still get the course certificate if I skipped the first homework?,Yes. Skipping the first homework will not prevent you from getting the certificate. You only need to pass the Capstone project and complete the required peer reviews. Homework is not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I need to complete all the homework to get certified, or is the Capstone enough?","Homework is **not required**. To get certified, you need to **complete the Capstone project** and the **required peer reviews**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework mandatory for passing the course, or just recommended practice?",Homework is **not mandatory** for passing the course. You only need to **pass the Capstone project** to get the certificate. Homework is **recommended practice** and its points count toward your **leaderboard rank**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I have to pass in order to receive the certificate?,"To receive the certificate, you need to **finish a capstone project and complete the required peer reviews**. Homework is **not required**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t required, does it still affect anything like my leaderboard position?","Yes. Homework isn’t required for the certificate, but homework points do count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"Because the homework may still be in draft status. If the title contains `[DRAFT]`, the homework is not ready yet, and its content can still change until both of these are true:

- the homework form is open on the course management platform
- the homework title does not contain `[DRAFT]`

Working on it before that is at your own risk, since the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to submit?,"A homework is ready to submit only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain `[DRAFT]`**.

If the title still says `[DRAFT]`, it is **not ready yet**, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start the assignment early if it still says [DRAFT]?,"It’s at your own risk. If the homework title still contains `[DRAFT]`, it means it is not ready yet and the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Why does the homework form being open not always mean the homework is final?,"Because the form being open only means submissions are still allowed. The homework is considered final only when **both** conditions are met:

- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`.

If the title still has `[DRAFT]`, the content can still change even though the form is open.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will run?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know the next offering date for the course?,I don't know.,Summer 2027.,bd31146b0e
What session is the course scheduled for after this one?,I don't know.,Summer 2027.,bd31146b0e
When should I expect the course to be available again?,I don't know.,Summer 2027.,bd31146b0e
Is the course coming back in summer 2027?,Yes — the course will be offered again in **summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant videos linked at the top. If you’re unsure, follow the GitHub repo first, since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there one main place to start if I want the lesson videos?,"Yes — the **main entry point is the LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there, and each lesson page has the relevant videos linked at the top. If in doubt, start with the GitHub repo first.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson pages in the repo link to the videos somewhere?,Yes. The lesson pages in the GitHub repo link to the relevant videos at the top of each lesson page.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,"Use the **GitHub repo as the main entry point**. It’s easier to keep updated than the YouTube playlist, and each lesson page in the repo links to the relevant videos at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the right videos for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point.

Open the **lesson folders** in the repo — **each lesson page has the relevant videos linked at the top**. If you’re unsure, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework deadlines?,"Check the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It has the **syllabus, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for tracking my progress in LLM Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform** to track your progress, deadlines, homework, and cohort structure:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the official place to follow the current cohort structure for this course?,"The official place is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Can I use one site to see homework, deadlines, and my progress in LLM Zoomcamp?","Yes — use the **LLM Zoomcamp course management platform** to track the syllabus, deadlines, homework, and your progress:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I go for the LLM Zoomcamp management page?,Go to the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you have live classes or office hours for every module, or is everything just recorded?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you can ask in Slack and follow the asking-questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Where can I find module lessons if there isn’t a live session for each one?,"Module lessons are pre-recorded and available in the course repo, so you can find them there even when there isn’t a live session for each module.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, should I wait for office hours or ask somewhere else?","If you get stuck, ask your question in Slack rather than waiting for office hours. Live sessions aren’t available for every module by default, and you should follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions for this course scheduled regularly, or only announced when they happen?",Live sessions are **not scheduled regularly by default**. They are **announced separately when they happen**.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any paid option with more support and Zoom office hours for this course?,"Yes. There is an optional paid support community, **AI Shipping Labs**, which includes **regular Zoom office hours** and additional structure. The main DataTalks.Club course content remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
